state,city,name,type,distance from airport,distance from bus stand,distance from railway station,rating,no of rating,best month to visit,famous activities,prefer for friends,prefer for couple,prefer for family with children,prefer for family without children,famous activities with rating,image
Rajasthan,Ranthambore,Ranthambore National Park,Wildlife Sanctuary,160.7,22.5,145.3,4.6,1800,2000,May/June,Wildlife Safari/Tiger Spotting,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Adventure': 4.8}"
Kerala,Kozhikode,Kozhikode Beach,Beach,28.9,10.4,5.2,4,1550,September/October/November/December/January/February,Relaxing/Sunset Views,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Sunset Views': 3.5}",Kozhikode_Beach_Kozhikode_Kerala.webp
Goa,Morjim,Morjim Beach,Beach,52.1,13.7,35.9,4.3,1780,October/November/December/January/February,Relaxing/Turtle Nesting,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Turtle Nesting': 3.5}",Morjim_Beach_Morjim_Goa.webp
Karnataka,Srirangapatna,Ranganathaswamy Temple,Religious Site,135.7,18.9,2.1,4.5,2200,September/October/November/December/January/February,Religious Activities/Historical Significance,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Historical Significance': 3.5}",Ranganathaswamy_Temple_Srirangapatna_Karnataka.webp
Tamil Nadu,Madurai,Thirumalai Nayakkar Mahal,Historical Palace,11.2,3.9,2.5,4.4,2050,October/November/December/January/February/March,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",
Uttar Pradesh,Vrindavan,Banke Bihari Temple,Religious Site,170.5,15.8,8.3,4.7,2350,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Banke_Bihari_Temple_Vrindavan_Uttar_Pradesh.webp
Himachal Pradesh,Chamba,Laxmi Narayan Temple,Religious Site,135.9,10.2,120.7,4.5,1680,April/May/June/September/October,Religious Activities/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Scenic Views': 3.5}",Laxmi_Narayan_Temple_Chamba_Himachal_Pradesh.webp
Gujarat,Saputara,Saputara Lake,Nature,280.2,35.1,250.9,4.2,1850,October/November/December/January/February,Boating/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.5, 'Scenic Views': 3.5}",Saputara_Lake_Saputara_Gujarat.webp
West Bengal,Siliguri,Kanchenjunga Stadium,Landmark,15.6,2.9,8.1,3.8,1400,October/November/February/March,Sightseeing/Local Exploration,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.5, 'Local Exploration': 3.5}",Kanchenjunga_Stadium_Siliguri_West_Bengal.webp
Maharashtra,Amboli,Amboli Ghat,Nature,115.9,22.3,90.5,4.1,1300,June/July/August/September,Scenic Views/Waterfalls,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Waterfalls': 3.5}",Amboli_Ghat_Amboli_Maharashtra.webp
Rajasthan,Sawai Madhopur,Ranthambore Fort,Historical Fort,155.3,20.7,140.2,4.4,1750,October/November/December/January/February/March,Historical Exploration/Wildlife Views,TRUE,TRUE,TRUE,TRUE,"{'Historical Exploration': 3.5, 'Wildlife Views': 3.5}",Ranthambore_Fort_Sawai_Madhopur_Rajasthan.webp
Kerala,Thrissur,Vadakkunnathan Temple,Religious Site,55.7,12.8,3.9,4.6,1600,September/October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Vadakkunnathan_Temple_Thrissur_Kerala.webp
Goa,Mapusa,Mapusa Market,Local Market,45.2,11.9,30.7,3.7,1700,October/November/December/January/February,Shopping/Local Culture,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.2, 'Local Culture': 3.5}",Mapusa_Market_Mapusa_Goa.webp
Karnataka,Mangaluru,Mangaladevi Temple,Religious Site,18.3,5.1,2.7,4.5,2000,September/October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Mangaladevi_Temple_Mangaluru_Karnataka.webp
Tamil Nadu,Kumbakonam,Airavatesvara Temple,Religious Site,280.9,35.6,5.2,4.6,2050,October/November/December/January/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Airavatesvara_Temple_Kumbakonam_Tamil_Nadu.webp
Uttar Pradesh,Gorakhpur,Gorakhnath Temple,Religious Site,200.5,18.2,5.9,4.4,2250,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Gorakhnath_Temple_Gorakhpur_Uttar_Pradesh.webp
Himachal Pradesh,Mandi,Rewalsar Lake,Religious Site,160.2,15.7,145.9,4.3,1650,April/May/June/September/October,Religious Activities/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Scenic Views': 3.5}",Rewalsar_Lake_Mandi_Himachal_Pradesh.webp
Gujarat,Rajkot,Watson Museum,Museum,160.8,12.3,5.1,4,1880,October/November/December/January/February,Museum Visits/Historical Exploration,TRUE,TRUE,FALSE,TRUE,"{'Museum Visits': 4.3, 'Historical Exploration': 3.5}",Watson_Museum_Rajkot_Gujarat.webp
West Bengal,Kharagpur,IIT Kharagpur,Educational Institute,115.6,18.9,2.5,3.9,1480,October/November/February/March,Campus Visit/Educational Interest,FALSE,FALSE,FALSE,FALSE,"{'Campus Visit': 3.5, 'Educational Interest': 3.5}",IIT_Kharagpur_Kharagpur_West_Bengal.webp
Maharashtra,Nagpur,Deekshabhoomi,Religious Site,12.9,6.5,3.2,4.7,1300,October/November/December/January/February,Religious Activities/Spiritual Significance,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Spiritual Significance': 3.5}",Deekshabhoomi_Nagpur_Maharashtra.webp
Rajasthan,Ajmer,Ajmer Sharif Dargah,Religious Site,135.2,8.7,2.1,4.8,1720,October/November/February/March,Religious Pilgrimage/Spiritual Experience,TRUE,TRUE,TRUE,TRUE,"{'Religious Pilgrimage': 3.5, 'Spiritual Experience': 3.5}",Ajmer_Sharif_Dargah_Ajmer_Rajasthan.webp
Kerala,Kannur,Payyambalam Beach,Beach,118.5,15.9,8.7,4.1,1530,September/October/November/December/January/February,Relaxing/Sunset Views,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Sunset Views': 3.5}",Payyambalam_Beach_Kannur_Kerala.webp
Goa,Ponda,Spice Plantations,Nature,40.7,12.5,35.9,4.4,1760,October/November/December/January/February,Spice Plantation Tours/Nature Walks,TRUE,TRUE,TRUE,TRUE,"{'Spice Plantation Tours': 3.5, 'Nature Walks': 3.5}",Spice_Plantations_Ponda_Goa.webp
Karnataka,Bidar,Bidar Fort,Historical Fort,700.1,20.3,150.6,4.3,2100,October/November/December/January/February,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Bidar_Fort_Bidar_Karnataka.webp
Tamil Nadu,Tiruchirappalli,Srirangam Temple,Religious Site,15.9,4.2,1.5,4.7,2080,October/November/December/January/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Srirangam_Temple_Tiruchirappalli_Tamil_Nadu.webp
Uttar Pradesh,Jhansi,Jhansi Fort,Historical Fort,105.3,15.1,2.8,4.2,1600,October/November/February/March,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Jhansi_Fort_Jhansi_Uttar_Pradesh.webp
Himachal Pradesh,Kinnaur,Sangla Valley,Nature,350.6,50.2,300.9,4.6,1980,June/July/August/September/October,Trekking/Scenic Views/Apple Orchards,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.8, 'Scenic Views': 3.5, 'Apple Orchards': 3.5}",Sangla_Valley_Kinnaur_Himachal_Pradesh.webp
Gujarat,Junagadh,Mahabat Maqbara,Historical Monument,105.9,18.7,2.3,4.1,1920,October/November/December/January/February,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",
West Bengal,Malda,Adina Deer Park,Nature,330.2,40.5,285.6,4,1580,October/November/February/March,Wildlife Viewing/Nature Walks,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Viewing': 3.5, 'Nature Walks': 3.5}",Adina_Deer_Park_Malda_West_Bengal.webp
Maharashtra,Chiplun,Guhagar Beach,Beach,280.5,35.9,250.2,4,1380,October/November/December/January/February,Relaxing/Sea Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Sea Food': 3.5}",Guhagar_Beach_Chiplun_Maharashtra.webp
Rajasthan,Jhalawar,Jhalawar Fort,Historical Fort,340.8,25.1,300.5,4.2,1780,October/November/February/March,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Jhalawar_Fort_Jhalawar_Rajasthan.webp
Kerala,Palakkad,Malampuzha Dam,Nature,110.2,20.7,85.9,4.3,1560,September/October/November/December/January/February,Scenic Views/Gardens/Boating,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Gardens': 3.5, 'Boating': 4.5}",
Goa,Sanquelim,Harvalem Falls,Nature,65.9,18.3,50.2,4.1,1740,June/July/August/September/October,Scenic Views/Nature Walks,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Nature Walks': 3.5}",
Karnataka,Hassan,Hoysaleswara Temple,Religious Site,180.5,22.9,155.6,4.6,2180,September/October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Hoysaleswara_Temple_Hassan_Karnataka.webp
Tamil Nadu,Karaikudi,Chettinad Mansions,Cultural Site,95.6,15.2,80.9,4.4,2020,October/November/December/January/February/March,Cultural Exploration/Architecture,TRUE,TRUE,TRUE,TRUE,"{'Cultural Exploration': 3.5, 'Architecture': 3.5}",Chettinad_Mansions_Karaikudi_Tamil_Nadu.webp
Uttar Pradesh,Mirzapur,Vindhyachal Temple,Religious Site,85.9,12.6,10.5,4.5,2000,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Vindhyachal_Temple_Mirzapur_Uttar_Pradesh.webp
Himachal Pradesh,Una,Chintpurni Temple,Religious Site,110.3,8.5,95.2,4.4,1620,April/May/June/September/October,Religious Activities/Pilgrimage,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Pilgrimage': 3.5}",Chintpurni_Temple_Una_Himachal_Pradesh.webp
Gujarat,Surendranagar,Tarnetar Fair,Cultural Event,130.7,20.1,105.6,4.3,1950,August/September,Cultural Fair/Folk Dance,TRUE,TRUE,TRUE,TRUE,"{'Cultural Fair': 3.5, 'Folk Dance': 3.5}",Tarnetar_Fair_Surendranagar_Gujarat.webp
West Bengal,Bankura,Mukutmanipur Dam,Nature,230.2,30.7,205.9,4,1520,October/November/December/January/February,Scenic Views/Boating,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Boating': 4.5}",Mukutmanipur_Dam_Bankura_West_Bengal.webp
Maharashtra,Satara,Kaas Plateau,Nature,135.6,25.2,110.5,4.5,1320,September/October,Flower Blooming/Nature Photography,TRUE,TRUE,TRUE,TRUE,"{'Flower Blooming': 3.5, 'Nature Photography': 3.5}",Kaas_Plateau_Satara_Maharashtra.webp
Rajasthan,Pali,Ranakpur Jain Temple,Religious Site,160.9,15.8,145.2,4.7,1650,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Ranakpur_Jain_Temple_Pali_Rajasthan.webp
Kerala,Idukki,Idukki Dam,Nature,130.5,22.1,115.9,4.3,1590,September/October/November/December/January/February,Scenic Views/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Trekking': 4.8}",Idukki_Dam_Idukki_Kerala.webp
Goa,Canacona,Cotigao Wildlife Sanctuary,Nature,75.2,20.9,60.5,4.2,1820,October/November/December/January/February,Wildlife Viewing/Nature Trails,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Viewing': 3.5, 'Nature Trails': 3.5}",Cotigao_Wildlife_Sanctuary_Canacona_Goa.webp
Karnataka,Chitradurga,Chitradurga Fort,Historical Fort,200.8,25.6,175.3,4.4,2120,October/November/December/January/February,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Chitradurga_Fort_Chitradurga_Karnataka.webp
Tamil Nadu,Sivaganga,Thirukoshtiyur Sowmya Narayana Perumal Temple,Religious Site,85.3,12.9,5.7,4.5,2060,October/November/December/January/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",
Uttar Pradesh,Banda,Kalinjar Fort,Historical Fort,230.6,30.2,15.9,4.1,1680,October/November/February/March,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Kalinjar_Fort_Banda_Uttar_Pradesh.webp
Himachal Pradesh,Sirmaur,Renuka Lake,Nature,115.2,10.7,100.5,4.3,1600,April/May/June/September/October,Boating/Nature Walks,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.5, 'Nature Walks': 3.5}",Renuka_Lake_Sirmaur_Himachal_Pradesh.webp
Gujarat,Amreli,Tulsi Shyam Temple,Religious Site,150.9,22.5,135.3,4.4,1930,October/November/December/January/February,Religious Activities/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Scenic Views': 3.5}",Tulsi_Shyam_Temple_Amreli_Gujarat.webp
West Bengal,Purulia,Ayodhya Hills,Nature,300.5,40.1,255.2,4.2,1500,October/November/December/January/February,Trekking/Rock Climbing,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.8, 'Rock Climbing': 3.5}",Ayodhya_Hills_Purulia_West_Bengal.webp
Maharashtra,Wardha,Sevagram Ashram,Historical Site,75.6,15.9,3.7,4.5,1350,October/November/December/January/February,Historical Exploration/Peaceful Retreat,TRUE,TRUE,TRUE,TRUE,"{'Historical Exploration': 3.5, 'Peaceful Retreat': 3.5}",Sevagram_Ashram_Wardha_Maharashtra.webp
Rajasthan,Tonk,Bisalpur Dam,Nature,110.8,18.3,95.9,4.1,1700,October/November/February/March,Scenic Views/Picnicking,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Picnicking': 3.5}",Bisalpur_Dam_Tonk_Rajasthan.webp
Kerala,Pathanamthitta,Sabarimala Temple,Religious Site,160.2,30.7,145.6,4.8,1750,November/December/January,Religious Pilgrimage,TRUE,FALSE,TRUE,FALSE,{'Religious Pilgrimage': 3.5},
Goa,Quepem,Netravali Wildlife Sanctuary,Nature,68.9,19.5,55.2,4.3,1800,October/November/December/January/February,Wildlife Viewing/Nature Trails,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Viewing': 3.5, 'Nature Trails': 3.5}",Netravali_Wildlife_Sanctuary_Quepem_Goa.webp
Karnataka,Kodagu,Talakaveri,Religious Site,155.6,20.2,130.9,4.6,1980,September/October/November/December/January/February,Religious Activities/Source of River Kaveri,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Source of River Kaveri': 3.5}",Talakaveri_Kodagu_Karnataka.webp
Tamil Nadu,Theni,Meghamalai,Nature,130.9,18.6,115.2,4.4,1950,October/November/December/January/February,Scenic Views/Tea Estates,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Tea Estates': 3.5}",Meghamalai_Theni_Tamil_Nadu.webp
Uttar Pradesh,Saharanpur,Shakumbhari Devi Temple,Religious Site,185.2,12.8,160.5,4.3,1620,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Shakumbhari_Devi_Temple_Saharanpur_Uttar_Pradesh.webp
Himachal Pradesh,Hamirpur,Nadaun,Nature,140.5,10.9,125.3,4.2,1680,April/May/June/September/October,Scenic Views/River Activities,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'River Activities': 3.5}",Nadaun_Hamirpur_Himachal_Pradesh.webp
Gujarat,Bhavnagar,Nilambagh Palace,Historical Palace,170.8,25.3,5.9,4.1,1900,October/November/December/January/February,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Nilambagh_Palace_Bhavnagar_Gujarat.webp
West Bengal,Hooghly,Bandel Church,Historical Site,55.9,10.5,3.2,4.3,1420,October/November/February/March,Historical Exploration/Religious Significance,TRUE,TRUE,TRUE,TRUE,"{'Historical Exploration': 3.5, 'Religious Significance': 3.5}",Bandel_Church_Hooghly_West_Bengal.webp
Maharashtra,Dhule,Laling Fort,Historical Fort,310.2,40.7,285.6,4,1300,October/November/December/January/February,Historical Exploration/Trekking,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Trekking': 4.8}",Laling_Fort_Dhule_Maharashtra.webp
Rajasthan,Karauli,Kaila Devi Temple,Religious Site,135.9,20.1,110.2,4.5,1780,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Kaila_Devi_Temple_Karauli_Rajasthan.webp
Kerala,Kottayam,Vagamon,Nature,115.3,25.7,90.5,4.4,1600,September/October/November/December/January/February,Paragliding/Scenic Views/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Paragliding': 3.5, 'Scenic Views': 3.5, 'Trekking': 4.8}",Vagamon_Kottayam_Kerala.webp
Goa,Sattari,Dudhsagar Falls,Nature,70.6,22.3,58.9,4.5,1850,October/November/December/January/February,Waterfalls/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Waterfalls': 3.5, 'Trekking': 4.8}",Dudhsagar_Falls_Sattari_Goa.webp
Karnataka,Mandya,Brindavan Gardens,Nature,150.2,18.9,2.5,4.3,2220,September/October/November/December/January/February,Gardens/Musical Fountain,TRUE,TRUE,TRUE,TRUE,"{'Gardens': 3.5, 'Musical Fountain': 3.5}",Brindavan_Gardens_Mandya_Karnataka.webp
Tamil Nadu,Namakkal,Anjaneyar Temple,Religious Site,185.9,25.6,5.7,4.6,2030,October/November/December/January/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Anjaneyar_Temple_Namakkal_Tamil_Nadu.webp
Uttar Pradesh,Rae Bareli,Behta Bridge,Landmark,95.3,12.9,10.2,3.9,1650,October/November/February/March,Sightseeing/Photography,TRUE,TRUE,FALSE,TRUE,"{'Sightseeing': 4.5, 'Photography': 4.2}",Behta_Bridge_Rae_Bareli_Uttar_Pradesh.webp
Himachal Pradesh,Bilaspur,Gobind Sagar Lake,Nature,120.8,15.2,105.9,4.2,1720,April/May/June/September/October,Boating/Fishing,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.5, 'Fishing': 3.5}",Gobind_Sagar_Lake_Bilaspur_Himachal_Pradesh.webp
Gujarat,Navsari,Dandi Beach,Historical Site,75.9,10.7,5.3,4.1,1950,October/November/December/January/February,Historical Significance/Relaxing,TRUE,TRUE,TRUE,TRUE,"{'Historical Significance': 3.5, 'Relaxing': 3.5}",Dandi_Beach_Navsari_Gujarat.webp
West Bengal,Jalpaiguri,Gorumara National Park,Wildlife Sanctuary,35.6,8.9,22.1,4.4,1450,October/November/December/January/February,Wildlife Safari/Elephant Rides,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.7, 'Elephant Rides': 3.5}",Gorumara_National_Park_Jalpaiguri_West_Bengal.webp
Maharashtra,Parbhani,Nageshwar Temple,Religious Site,420.5,30.1,380.2,4.3,1380,October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Nageshwar_Temple_Parbhani_Maharashtra.webp
Rajasthan,Sikar,Khatu Shyam Temple,Religious Site,115.3,18.6,90.7,4.8,1760,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Khatu_Shyam_Temple_Sikar_Rajasthan.webp
Kerala,Malappuram,Kadalundi Bird Sanctuary,Nature,45.6,12.9,8.5,4.2,1580,September/October/November/December/January/February,Bird Watching/Nature Walks,TRUE,TRUE,TRUE,TRUE,"{'Bird Watching': 3.5, 'Nature Walks': 3.5}",
Goa,Pernem,Terekhol Fort,Historical Fort,60.9,15.3,45.7,4,1790,October/November/December/January/February,Historical Exploration/Scenic Views,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Scenic Views': 3.5}",
Karnataka,Tumakuru,Devarayanadurga,Nature,95.2,12.7,80.9,4.3,2150,September/October/November/December/January/February,Trekking/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.8, 'Scenic Views': 3.5}",Devarayanadurga_Tumakuru_Karnataka.webp
Tamil Nadu,Tirunelveli,Nellaiappar Temple,Religious Site,185.6,22.9,5.1,4.5,2010,October/November/December/January/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Nellaiappar_Temple_Tirunelveli_Tamil_Nadu.webp
Uttar Pradesh,Amethi,Amethi Fort,Historical Fort,120.9,15.2,8.7,4,1630,October/November/February/March,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Amethi_Fort_Amethi_Uttar_Pradesh.webp
Himachal Pradesh,Kangra,Kangra Fort,Historical Fort,25.3,5.8,18.9,4.2,1700,April/May/June/September/October,Historical Exploration/Scenic Views,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Scenic Views': 3.5}",Kangra_Fort_Kangra_Himachal_Pradesh.webp
Gujarat,Gandhinagar,Akshardham Temple,Religious Site,20.7,8.5,15.2,4.6,1920,October/November/December/January/February,Religious Activities/Cultural Exhibition,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Cultural Exhibition': 3.5}",Akshardham_Temple_Gandhinagar_Gujarat.webp
West Bengal,Bardhaman,Krishnasayar Eco Park,Nature,105.9,15.6,80.3,3.9,1460,October/November/February/March,Relaxing/Nature Walks,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Nature Walks': 3.5}",
Maharashtra,Jalgaon,Omkareshwar Temple,Religious Site,260.2,30.7,235.9,4.4,1360,October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Omkareshwar_Temple_Jalgaon_Maharashtra.webp
Rajasthan,Jalore,Jalore Fort,Historical Fort,320.5,20.1,295.6,4.1,1740,October/November/February/March,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Jalore_Fort_Jalore_Rajasthan.webp
Kerala,Kasaragod,Bekal Hole Aqua Park,Amusement Park,118.9,16.5,102.3,3.8,1550,September/October/November/December/January/February,Water Activities/Family Fun,TRUE,TRUE,TRUE,TRUE,"{'Water Activities': 3.5, 'Family Fun': 3.5}",
Goa,Dabolim,Naval Aviation Museum,Museum,2.5,15.9,30.7,4.3,1810,October/November/December/January/February,Museum Visits/Aviation History,TRUE,TRUE,TRUE,TRUE,"{'Museum Visits': 4.3, 'Aviation History': 3.5}",Naval_Aviation_Museum_Dabolim_Goa.webp
Karnataka,Raichur,Raichur Fort,Historical Fort,410.3,18.7,150.9,4,2130,October/November/December/January/February,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Raichur_Fort_Raichur_Karnataka.webp
Tamil Nadu,Dindigul,Dindigul Rock Fort,Historical Fort,105.6,12.3,8.5,4.2,2070,October/November/December/January/February/March,Historical Exploration/Scenic Views,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Scenic Views': 3.5}",Dindigul_Rock_Fort_Dindigul_Tamil_Nadu.webp
